exam_system,section,region_or_subsection,maneuver_or_finding,source_item,patient_instruction_or_setup,examiner_technique,how_to_perform,observe_or_positive_finding,function_or_clinical_use,suggested_checklist_label,suggested_options,include_when,exam_id
MSK,Advanced Maneuvers,Hip,Thomas test,MSK Advanced Hip,Lie supine and pull one knee to chest,Observe opposite thigh lifting from table,Set up or position the patient: Lie supine and pull one knee to chest. Perform the maneuver: Observe opposite thigh lifting from table. Assess and document: Hip flexion contracture clue.,Hip flexion contracture clue,Screens hip flexor tightness or contracture,Thomas test,Negative / Positive right / Positive left / Bilateral / Unable,Hip stiffness; gait abnormality; contracture concern,msk_advanced_maneuvers_hip_thomas_test
MSK,Advanced Maneuvers,Hip,Ober test,MSK Advanced Hip,Lie on side with lower hip and knee flexed,Extend and abduct upper leg then let it adduct toward table,Set up or position the patient: Lie on side with lower hip and knee flexed. Perform the maneuver: Extend and abduct upper leg then let it adduct toward table. Assess and document: Leg remains abducted or lateral pain.,Leg remains abducted or lateral pain,Screens iliotibial band tightness,Ober test,Negative / Positive right / Positive left / Bilateral / Unable,Lateral hip pain; iliotibial band concern,msk_advanced_maneuvers_hip_ober_test
MSK,Advanced Maneuvers,Knee,Lachman test,MSK Advanced Knee,Knee flexed 20 to 30 degrees and relaxed,Stabilize femur and pull tibia anteriorly,Set up or position the patient: Knee flexed 20 to 30 degrees and relaxed. Perform the maneuver: Stabilize femur and pull tibia anteriorly. Assess and document: Soft endpoint or increased anterior translation.,Soft endpoint or increased anterior translation,Screens ACL tear,Lachman test,Negative / Positive right / Positive left / Bilateral / Unable,Knee injury; ACL concern,msk_advanced_maneuvers_knee_lachman_test
MSK,Advanced Maneuvers,Knee,Valgus stress test,MSK Advanced Knee,Knee slightly flexed then extended if tolerated,Apply valgus stress while stabilizing femur,Set up or position the patient: Knee slightly flexed then extended if tolerated. Perform the maneuver: Apply valgus stress while stabilizing femur. Assess and document: Medial laxity or pain.,Medial laxity or pain,Screens MCL injury,Knee valgus stress,Negative / Positive right / Positive left / Bilateral / Unable,Knee injury; MCL concern,msk_advanced_maneuvers_knee_valgus_stress_test
MSK,Advanced Maneuvers,Knee,Varus stress test,MSK Advanced Knee,Knee slightly flexed then extended if tolerated,Apply varus stress while stabilizing femur,Set up or position the patient: Knee slightly flexed then extended if tolerated. Perform the maneuver: Apply varus stress while stabilizing femur. Assess and document: Lateral laxity or pain.,Lateral laxity or pain,Screens LCL injury,Knee varus stress,Negative / Positive right / Positive left / Bilateral / Unable,Knee injury; LCL concern,msk_advanced_maneuvers_knee_varus_stress_test
MSK,Advanced Maneuvers,Knee,McMurray test,MSK Advanced Knee,Lie supine and relax leg,Flex knee then rotate tibia while extending knee,Set up or position the patient: Lie supine and relax leg. Perform the maneuver: Flex knee then rotate tibia while extending knee. Assess and document: Click locking or joint-line pain.,Click locking or joint-line pain,Screens meniscal tear clue,McMurray test,Negative / Positive medial / Positive lateral / Unable,Knee injury; locking; meniscus concern,msk_advanced_maneuvers_knee_mcmurray_test
MSK,Advanced Maneuvers,Knee,Thessaly test,MSK Advanced Knee,Stand on one leg with support if safe,Flex knee about 20 degrees and rotate body internally and externally,Set up or position the patient: Stand on one leg with support if safe. Perform the maneuver: Flex knee about 20 degrees and rotate body internally and externally. Assess and document: Joint-line pain locking or giving way.,Joint-line pain locking or giving way,Screens meniscal tear clue,Thessaly test,Negative / Positive right / Positive left / Deferred / Unable,Knee pain; meniscus concern; ambulatory patient,msk_advanced_maneuvers_knee_thessaly_test
MSK,Advanced Maneuvers,Knee,Patellar apprehension test,MSK Advanced Knee,Relax quadriceps with knee slightly flexed,Translate patella laterally while observing apprehension,Set up or position the patient: Relax quadriceps with knee slightly flexed. Perform the maneuver: Translate patella laterally while observing apprehension. Assess and document: Apprehension pain or guarding.,Apprehension pain or guarding,Screens patellar instability,Patellar apprehension,Negative / Positive right / Positive left / Bilateral / Unable,Anterior knee pain; patellar dislocation concern,msk_advanced_maneuvers_knee_patellar_apprehension_test
MSK,Advanced Maneuvers,Ankle,Anterior drawer ankle,MSK Advanced Ankle,Relax ankle in slight plantarflexion,Stabilize tibia and pull heel anteriorly,Set up or position the patient: Relax ankle in slight plantarflexion. Perform the maneuver: Stabilize tibia and pull heel anteriorly. Assess and document: Increased anterior translation or soft endpoint.,Increased anterior translation or soft endpoint,Screens anterior talofibular ligament injury,Ankle anterior drawer,Negative / Positive right / Positive left / Bilateral / Unable,Ankle sprain; lateral ankle instability,msk_advanced_maneuvers_ankle_anterior_drawer_ankle
MSK,Advanced Maneuvers,Ankle,Talar tilt test,MSK Advanced Ankle,Relax ankle neutral to slight plantarflexion,Invert calcaneus while stabilizing tibia,Set up or position the patient: Relax ankle neutral to slight plantarflexion. Perform the maneuver: Invert calcaneus while stabilizing tibia. Assess and document: Excess inversion laxity or pain.,Excess inversion laxity or pain,Screens calcaneofibular ligament injury,Talar tilt,Negative / Positive right / Positive left / Bilateral / Unable,Ankle sprain; lateral ankle instability,msk_advanced_maneuvers_ankle_talar_tilt_test
MSK,Advanced Maneuvers,Ankle,Thompson test,MSK Advanced Ankle,Lie prone or kneel with foot hanging,Compress calf and observe plantarflexion,Set up or position the patient: Lie prone or kneel with foot hanging. Perform the maneuver: Compress calf and observe plantarflexion. Assess and document: Absent plantarflexion.,Absent plantarflexion,Screens Achilles tendon rupture,Thompson test,Negative / Positive right / Positive left / Bilateral / Unable,Posterior ankle pain; Achilles rupture concern,msk_advanced_maneuvers_ankle_thompson_test
MSK,Advanced Maneuvers,Ankle,Syndesmosis squeeze test,MSK Advanced Ankle,Relax leg,Compress tibia and fibula together at mid-calf,Set up or position the patient: Relax leg. Perform the maneuver: Compress tibia and fibula together at mid-calf. Assess and document: Pain near distal syndesmosis.,Pain near distal syndesmosis,Screens high ankle sprain clue,Syndesmosis squeeze,Negative / Positive right / Positive left / Bilateral / Unable,Ankle injury; high ankle sprain concern,msk_advanced_maneuvers_ankle_syndesmosis_squeeze_test
MSK,Advanced Maneuvers,Ankle,Ottawa ankle tenderness zones,MSK Advanced Ankle,Expose ankle and foot after injury,Palpate posterior edge and tip of malleoli navicular and base of fifth metatarsal plus assess weight bearing,Set up or position the patient: Expose ankle and foot after injury. Perform the maneuver: Palpate posterior edge and tip of malleoli navicular and base of fifth metatarsal plus assess weight bearing. Assess and document: Bony tenderness or inability to bear weight.,Bony tenderness or inability to bear weight,Screens fracture risk using ankle and foot tenderness zones,Ottawa ankle foot zones,Negative / Malleolar tenderness / Midfoot tenderness / Cannot bear weight / Unable,Acute ankle injury; foot injury; fracture risk,msk_advanced_maneuvers_ankle_ottawa_ankle_tenderness_zones
MSK,Advanced Maneuvers,Foot,Monofilament foot sensation,MSK Advanced Foot,Close eyes and say yes when felt,Apply 10 g monofilament to plantar sites until it bends,Set up or position the patient: Close eyes and say yes when felt. Perform the maneuver: Apply 10 g monofilament to plantar sites until it bends. Assess and document: Unable to feel one or more sites.,Unable to feel one or more sites,Screens loss of protective sensation in diabetic foot,Monofilament sensation,Intact / Reduced right / Reduced left / Bilateral loss / Unable,Diabetes; neuropathy; foot ulcer risk,msk_advanced_maneuvers_foot_monofilament_foot_sensation
MSK,Advanced Maneuvers,Foot,Plantar fascia windlass test,MSK Advanced Foot,Stand or sit with foot supported,Passively dorsiflex great toe while palpating plantar fascia,Set up or position the patient: Stand or sit with foot supported. Perform the maneuver: Passively dorsiflex great toe while palpating plantar fascia. Assess and document: Heel or plantar fascia pain.,Heel or plantar fascia pain,Screens plantar fasciitis clue,Windlass test,Negative / Positive right / Positive left / Bilateral / Unable,Heel pain; plantar fasciitis concern,msk_advanced_maneuvers_foot_plantar_fascia_windlass_test
MSK,Advanced Maneuvers,Foot,Morton metatarsal squeeze,MSK Advanced Foot,Relax forefoot,Compress metatarsal heads together and palpate web spaces,Set up or position the patient: Relax forefoot. Perform the maneuver: Compress metatarsal heads together and palpate web spaces. Assess and document: Click or forefoot pain.,Click or forefoot pain,Screens Morton neuroma clue,Morton squeeze,Negative / Positive right / Positive left / Bilateral / Unable,Forefoot pain; neuroma concern,msk_advanced_maneuvers_foot_morton_metatarsal_squeeze
MSK,Advanced Maneuvers,Spine,Spurling test,MSK Advanced Spine,Sit upright and report radiating symptoms,Extend and rotate neck toward symptomatic side then apply gentle axial compression if safe,Set up or position the patient: Sit upright and report radiating symptoms. Perform the maneuver: Extend and rotate neck toward symptomatic side then apply gentle axial compression if safe. Assess and document: Reproduction of arm radicular pain.,Reproduction of arm radicular pain,Screens cervical radiculopathy clue,Spurling test,Negative / Positive right / Positive left / Deferred / Unable,Neck pain; arm radicular pain; cervical radiculopathy,msk_advanced_maneuvers_spine_spurling_test
MSK,Advanced Maneuvers,Spine,Lhermitte sign,MSK Advanced Spine,Flex neck only if safe and no instability concern,Ask about electric shock sensation down spine or limbs,Set up or position the patient: Flex neck only if safe and no instability concern. Perform the maneuver: Ask about electric shock sensation down spine or limbs. Assess and document: Electric shock sensation with neck flexion.,Electric shock sensation with neck flexion,Screens cervical cord posterior column irritation clue,Lhermitte sign,Negative / Positive / Deferred / Unable,Myelopathy; multiple sclerosis concern; cervical cord concern,msk_advanced_maneuvers_spine_lhermitte_sign
MSK,Advanced Maneuvers,Spine,Modified Schober test,MSK Advanced Spine,Stand with back exposed if safe,Mark lumbosacral points and measure separation before and during forward flexion,Set up or position the patient: Stand with back exposed if safe. Perform the maneuver: Mark lumbosacral points and measure separation before and during forward flexion. Assess and document: Reduced lumbar flexion expansion.,Reduced lumbar flexion expansion,Screens inflammatory back disease and lumbar mobility limitation,Modified Schober,Normal / Reduced / Unable,Inflammatory back pain; ankylosing spondylitis concern,msk_advanced_maneuvers_spine_modified_schober_test
MSK,Advanced Maneuvers,Spine,Adams forward bend test,MSK Advanced Spine,Stand and bend forward with arms hanging,Inspect from behind for rib hump or asymmetry,Set up or position the patient: Stand and bend forward with arms hanging. Perform the maneuver: Inspect from behind for rib hump or asymmetry. Assess and document: Thoracic rib hump or lumbar prominence.,Thoracic rib hump or lumbar prominence,Screens scoliosis structural rotation clue,Adams forward bend,Negative / Positive thoracic / Positive lumbar / Unable,Scoliosis concern; adolescent back exam,msk_advanced_maneuvers_spine_adams_forward_bend_test
MSK,Advanced Maneuvers,Sacroiliac,SI joint compression test,MSK Advanced SI,Lie lateral or supine if tolerated,Apply compression across pelvis over iliac crests,Set up or position the patient: Lie lateral or supine if tolerated. Perform the maneuver: Apply compression across pelvis over iliac crests. Assess and document: Reproduction of posterior pelvic pain.,Reproduction of posterior pelvic pain,Screens sacroiliac pain provocation,SI compression,Negative / Positive right / Positive left / Bilateral / Unable,Low back pain; sacroiliac pain concern,msk_advanced_maneuvers_sacroiliac_si_joint_compression_test
